City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1035,chhatak,BD,25.0333,91.6667,58.48,71,0,4.63,clear sky
1036,nacala,MZ,-14.5428,40.6728,79.57,90,100,7.61,overcast clouds
1037,casino,AU,-28.8667,153.05,78.8,65,92,6.91,overcast clouds
1038,waingapu,ID,-9.6567,120.2641,78.12,81,100,5.21,moderate rain
1039,syntul,RU,55.0033,41.2971,-0.35,92,100,1.05,overcast clouds
1040,bachi-yurt,RU,43.22,46.2,23.0,86,0,4.47,clear sky
1041,pontianak,ID,-0.0333,109.3333,73.4,94,20,4.61,few clouds
1042,chiang khong,TH,20.2613,100.4046,57.2,100,11,2.3,few clouds
1043,nizhniy mamon,RU,50.1937,40.5083,-1.84,93,86,1.68,overcast clouds
1044,balaghat,IN,21.8,80.1833,59.9,43,0,1.39,clear sky
1045,ushtobe,KZ,45.2514,77.9838,28.81,86,100,2.19,snow
1046,kurilsk,RU,45.2333,147.8833,21.2,95,100,14.27,light snow
1047,petropavlovsk-kamchatskiy,RU,53.0452,158.6483,23.0,50,20,17.9,snow
1048,ust-kuyga,RU,70.0167,135.6,-44.05,77,86,3.27,overcast clouds
1049,talnakh,RU,69.4865,88.3972,-13.72,88,100,3.67,overcast clouds
1050,mino,JP,34.8269,135.4706,37.0,80,75,8.05,broken clouds
1051,svetlyy,RU,54.675,20.1347,17.6,73,98,6.71,overcast clouds
1052,doha,QA,25.2867,51.5333,66.2,55,0,8.05,clear sky
1053,bitburg,DE,49.9667,6.5333,37.99,87,90,10.36,overcast clouds
1054,knysna,ZA,-34.0363,23.0471,60.8,94,0,6.91,clear sky
1055,gao,ML,16.6362,1.637,70.23,22,0,13.87,clear sky
1056,naze,JP,28.3667,129.4833,59.0,55,75,5.75,broken clouds
1057,chibuto,MZ,-24.6867,33.5306,71.96,86,97,6.69,overcast clouds
1058,pangkalanbuun,ID,-2.6833,111.6167,74.08,96,100,2.35,light rain
1059,kavaratti,IN,10.5669,72.642,80.78,70,0,0.92,clear sky
1060,phan thiet,VN,10.9333,108.1,66.94,68,100,2.24,overcast clouds
1061,mama,RU,58.3106,112.8986,-19.44,80,100,7.23,overcast clouds
1062,ossora,RU,59.2353,163.0719,-0.42,89,100,18.14,overcast clouds
1063,mirzapur,IN,25.15,82.5833,58.53,56,27,0.16,scattered clouds
1064,shostka,UA,51.863,33.4698,5.07,93,100,5.61,overcast clouds
1065,capuluan,PH,13.8147,122.5181,75.69,89,100,9.13,moderate rain
1066,leinefelde,DE,51.3833,10.3333,36.0,93,100,1.01,light snow
1067,mirnyy,RU,62.5353,113.9611,-41.15,80,100,8.34,overcast clouds
1068,yushu,CN,44.8,126.5333,-22.61,83,0,7.09,clear sky
1069,kryvyy rih,UA,47.9167,33.35,-2.0,78,40,8.95,scattered clouds
1070,boras,SE,57.721,12.9401,32.0,93,90,9.22,light snow
1071,pemangkat,ID,1.1667,108.9667,76.46,87,100,9.42,overcast clouds
1072,faya,SA,18.3851,42.4509,55.4,50,0,4.61,clear sky
1073,bushehr,IR,28.9684,50.8385,63.86,57,0,11.7,clear sky
1074,kalabo,ZM,-14.97,22.6814,69.73,91,100,3.74,light rain
1075,malinovoye ozero,RU,51.6753,79.7825,-2.56,91,63,2.95,broken clouds
1076,xuzhou,CN,34.1805,117.1571,32.47,92,0,9.31,clear sky
1077,gari,RU,59.4307,62.3497,-13.22,86,0,4.03,clear sky
1078,zhezkazgan,KZ,47.8043,67.7144,14.59,94,100,8.19,overcast clouds
1079,nizhniy tsasuchey,RU,50.5167,115.1333,-11.27,87,5,3.71,clear sky
1080,andapa,MG,-14.65,49.65,70.18,90,87,3.42,moderate rain
1081,olga,RU,43.7444,135.2892,-7.98,75,3,17.9,clear sky
1082,kirkwood,US,38.5834,-90.4068,43.0,81,90,3.44,overcast clouds
1083,velyka bilozerka,UA,47.2776,34.7062,8.02,94,97,3.94,overcast clouds
1084,algiers,DZ,36.7525,3.042,41.0,93,20,2.3,few clouds
1085,dobrokoz,HU,46.4218,18.2395,30.0,76,100,11.01,overcast clouds
1086,togur,RU,58.3631,82.8265,-14.98,88,68,8.23,broken clouds
1087,tahta,EG,26.7693,31.5021,51.8,50,0,6.91,clear sky
1088,dengzhou,CN,37.8086,120.7508,22.73,89,0,10.65,clear sky
1089,nardaran,AZ,40.5561,50.0056,41.0,87,90,13.8,overcast clouds
1090,butaritari,KI,3.0707,172.7902,80.67,82,53,17.2,light rain
1091,sistranda,NO,63.7256,8.834,30.2,74,0,17.27,clear sky
1092,kortkeros,RU,61.8106,51.5806,-20.2,76,90,4.47,light snow
1093,lodja,CD,-3.4833,23.4333,69.42,83,100,0.89,overcast clouds
1094,waitati,NZ,-45.75,170.5667,59.0,83,48,3.0,light rain
1095,aurillac,FR,44.9167,2.45,32.0,95,8,2.19,clear sky
1096,bako,ET,5.7833,36.5667,67.41,52,100,4.5,overcast clouds
1097,dombarovskiy,RU,50.7587,59.5386,5.81,92,100,11.3,overcast clouds
1098,kutno,PL,52.2306,19.3641,18.0,79,90,3.44,light snow
1099,kamiiso,JP,41.8167,140.65,23.0,74,75,9.22,light snow
1100,naduvattam,IN,11.4833,76.5667,50.2,86,0,2.42,clear sky
1101,pitelino,RU,54.5777,41.8145,-2.02,92,100,1.32,overcast clouds
1102,chengzihe,CN,45.3333,131.0667,-24.43,80,0,6.33,clear sky
1103,sinegorye,RU,62.0788,150.477,-30.66,79,100,2.39,overcast clouds
1104,altay,CN,47.8667,88.1167,10.67,63,5,1.77,clear sky
1105,swellendam,ZA,-34.0226,20.4417,64.4,82,0,3.44,clear sky
1106,poum,NC,-20.2333,164.0167,82.6,79,99,11.03,moderate rain
1107,palembang,ID,-2.9167,104.7458,75.2,94,40,4.61,light rain
1108,muswellbrook,AU,-32.2667,150.9,74.93,56,9,6.85,clear sky
1109,mezen,RU,65.8522,44.24,19.44,97,100,10.54,light snow
1110,yaan,NG,7.3833,8.5667,79.59,19,31,2.64,scattered clouds
1111,dao,PH,11.3937,122.6856,73.49,94,100,8.19,moderate rain
1112,gornozavodsk,RU,58.3758,58.3211,-16.38,89,15,1.41,few clouds
1113,saint-joseph,RE,-21.3667,55.6167,78.8,73,0,5.75,clear sky
1114,kjopsvik,NO,68.097,16.3742,28.99,92,20,2.3,few clouds
1115,mwense,ZM,-10.3845,28.698,67.8,92,100,2.46,light rain
1116,oranjemund,NA,-28.55,16.4333,67.15,81,58,9.35,broken clouds
1117,ahipara,NZ,-35.1667,173.1667,71.98,63,40,12.48,scattered clouds
1118,dezful,IR,32.3811,48.4058,55.72,63,1,1.77,clear sky
1119,tsuruoka,JP,38.7217,139.8217,28.4,64,75,29.93,light snow
1120,cizre,TR,37.3272,42.1903,45.48,73,99,5.1,overcast clouds
1121,vuktyl,RU,63.8567,57.3094,-26.23,85,12,5.57,few clouds
1122,tsumeb,NA,-19.2333,17.7167,68.0,68,100,3.44,overcast clouds
1123,sharjah,AE,25.3573,55.4033,66.0,88,75,5.75,fog
1124,yunhe,CN,34.0833,119.7167,32.47,95,0,7.96,clear sky
1125,san vito dei normanni,IT,40.6573,17.7072,44.6,49,75,12.66,broken clouds
1126,aktash,RU,50.3,87.7333,12.65,92,96,5.59,overcast clouds
1127,neyyattinkara,IN,8.4,77.0833,77.0,88,20,2.3,mist
1128,adet,ET,11.2644,37.4888,56.44,37,5,3.33,clear sky
1129,tamworth,GB,52.634,-1.6959,48.2,93,90,10.36,light rain
1130,ishigaki,JP,24.3448,124.1572,62.6,59,40,14.97,scattered clouds
1131,hobart,AU,-42.8794,147.3294,57.0,44,75,14.97,broken clouds
1132,arkhipo-osipovka,RU,44.37,38.52,23.0,72,86,3.36,overcast clouds
1133,sibu,MY,2.3,111.8167,73.4,100,40,2.3,light rain
1134,padang,ID,-0.9492,100.3543,73.4,94,40,2.3,light rain
